layer,probe,mean_r2,std_r2,best_lr,best_wd
0,acceleration,0.5759739398956298,0.06741764831119756,0.005,0.01
1,acceleration,0.36052192449569703,0.08003150954011524,0.005,0.01
2,acceleration,0.4399992167949677,0.07261030442944227,0.003,0.1
3,acceleration,0.8439473018050194,0.0301683009843713,0.005,0.4
4,acceleration,0.8731772616505623,0.02801022592481104,0.005,0.8
5,acceleration,0.8922708436846734,0.017326277421777135,0.005,0.4
6,acceleration,0.9074822455644608,0.012026778791619532,0.005,0.4
7,acceleration,0.9121187821030616,0.013919007948884817,0.005,0.1
8,acceleration,0.9358287088572979,0.007462525425030081,0.001,0.1
9,acceleration,0.9498868107795715,0.006372220399589881,0.003,0.4
10,acceleration,0.9547824002802372,0.0068276795629050825,0.005,0.4
11,acceleration,0.9561501994729042,0.0061403475051605375,0.005,0.8
12,acceleration,0.9578646272420883,0.006772991735212008,0.003,0.4
13,acceleration,0.9608985662460328,0.007295977099876117,0.003,0.1
14,acceleration,0.9649473667144776,0.004758992570835775,0.003,0.4
15,acceleration,0.9641247265040874,0.0024037806600328976,0.003,0.1
16,acceleration,0.9637716814875603,0.004782123026821883,0.001,0.8
17,acceleration,0.9693757314234972,0.007036928212449223,0.005,0.8
18,acceleration,0.9702468432486058,0.008859332756201117,0.003,0.8
19,acceleration,0.9698388796299696,0.011369342527076753,0.001,0.4
20,acceleration,0.9715445661917329,0.010776271515034718,0.003,0.8
21,acceleration,0.974506244622171,0.007740127684341703,0.001,0.4
22,acceleration,0.9760479722172022,0.006850711637904735,0.003,0.4
23,acceleration,0.9761177862063051,0.00611668437720316,0.005,0.4
24,acceleration,0.9802975684404374,0.005123570213058366,0.005,0.4
25,acceleration,0.9788859518244862,0.004544780382116774,0.005,0.8
26,acceleration,0.9766741387546063,0.004499915453490613,0.005,0.8
27,acceleration,0.9791838970035315,0.001506821066183955,0.001,0.4
28,acceleration,0.9785195231437683,0.004327674995751945,0.003,0.4
29,acceleration,0.9767520599067211,0.005343974918367229,0.003,0.4
30,acceleration,0.9778352420777082,0.002565040293754801,0.003,0.4
31,acceleration,0.9760876711457968,0.004503082353306185,0.005,0.4
32,acceleration,0.9736791025847197,0.00380478843323508,0.003,0.4
33,acceleration,0.975861319899559,0.002959138543402905,0.005,0.1
34,acceleration,0.9733681157231331,0.0034498887960561523,0.003,0.1
35,acceleration,0.9753236845135689,0.003617310785200481,0.003,0.1
36,acceleration,0.9742922097444534,0.0038394821701071466,0.005,0.1
37,acceleration,0.9743424616754055,0.005371725987493108,0.003,0.1
38,acceleration,0.9750337719917297,0.005294264330292783,0.005,0.1
39,acceleration,0.9744062401354313,0.00520287901111075,0.003,0.1
